"","V1"
"1",-0.848406914487999
"2",0.355465269264653
"3",-0.713081136168357
"4",-0.83083213808285
"5",-0.44770201245062
"6",-0.723626002011446
"7",-0.758775554821743
"8",4.29045770637734
"9",-0.748230688978654
"10",0.151597862964934
"11",-0.862466735612117
"12",0.39061482207495
"13",0.666538811635776
"14",-0.816772316958732
"15",-0.686718971560635
"16",-0.779865286507921
"17",-0.865981690893147
"18",1.54000519897164
"19",0.805379545236447
"20",0.763200081864091
"21",1.04791145962749
"22",0.0654814585797079
"23",2.30450797259559
"24",-0.0417246774916962
"25",1.67884593257231
"26",-0.785137719429465
"27",-0.908161154265502
"28",-0.516243640430698
"29",1.65775620088613
"30",0.585694840172095
"31",0.708718275008132
"32",-0.231532262667297
"33",0.269348864879427
"34",0.074268846782282
"35",2.5189202447384
"36",-0.702536270325269
"37",0.0953585784684598
"38",1.37128734548222
"39",1.47497852627259
"40",1.78077963572217
"41",-0.732413390214021
"42",0.0391192939719856
"43",0.374797523310316
"44",2.88447559396548
"45",1.95125496685211
"46",1.8668960401074
"47",-0.591815178972835
"48",-0.908161154265502
"49",-0.449459490091134
"50",0.654236468152173
"51",-0.484609042901431
"52",-0.333465965817156
"53",-0.771077898305347
"54",-0.201655142778545
"55",1.17269237210404
"56",-0.744715733697624
"57",0.829984232203655
"58",-0.931008363592195
"59",0.880951083778584
"60",-0.233289740307812
"61",0.703445842086588
"62",-0.630479687064161
"63",-0.732413390214021
"64",-0.855436825050058
"65",1.92313532460387
"66",-0.857194302690573
"67",-0.802712495834613
"68",3.4082039308389
"69",1.56109493065782
"70",0.439824196009365
"71",-0.704293747965783
"72",-0.829074660442336
"73",-0.177050455811337
"74",-0.857194302690573
"75",-0.475821654698857
"76",-0.869496646174176
"77",0.684113588040925
"78",-0.477579132339372
"79",-0.289529024804286
"80",0.376555000950831
"81",-0.767562943024317
"82",1.38886212188737
"83",-0.823802227520791
"84",0.805379545236447
"85",0.949492711758662
"86",2.20433174708624
"87",1.78780954628423
"88",0.0602090256581634
"89",-0.716596091449387
"90",-0.844891959206969
"91",-0.806227451115643
"92",1.77550720280063
"93",-0.815014839318217
"94",-0.154203246484645
"95",-0.649811941109824
"96",-0.846649436847484
"97",0.555817720283343
"98",-0.00833260232191459
"99",-0.537333372116875
"100",-0.328193532895612
"101",-0.844891959206969
"102",-0.0294223340080924
"103",0.53297051095665
"104",-0.78689519706998
"105",0.569877541407461
"106",-0.749988166619169
"107",-0.776350331226891
"108",-0.832589615723365
"109",1.48025095919414
"110",-0.98021773752661
"111",-0.732413390214021
"112",-0.549635715600479
"113",0.248259133193249
"114",1.9617998326952
"115",-0.853679347409543
"116",0.569877541407461
"117",0.967067488163811
"118",-0.280741636601712
"119",1.04615398198698
"120",-0.862466735612117
"121",-0.609389955377983
"122",-0.858951780331088
"123",-0.368615518627453
"124",-0.871254123814691
"125",-0.778107808867406
"126",1.39940698773046
"127",0.569877541407461
"128",1.28517094109699
"129",0.998702085693077
"130",-0.356313175143849
"131",-0.0188774681650035
"132",-0.458246878293709
"133",0.473216271179146
"134",-0.493396431104005
"135",0.0531791150961041
"136",-0.811499884037187
"137",-0.899373766062928
"138",-0.275469203680167
"139",-0.1489308135631
"140",-0.857194302690573
"141",-0.616419865940042
"142",-0.266681815477593
"143",-0.170020545249278
"144",2.65951845597958
"145",-0.855436825050058
"146",-0.607632477737468
"147",-0.841377003925939
"148",-0.713081136168357
"149",-0.807984928756158
"150",0.650721512871143
"151",-0.788652674710495
"152",0.499578435786868
"153",-0.693748882122694
"154",-0.757018077181228
"155",-0.604117522456439
"156",3.97938416400621
"157",0.515395734551502
"158",-0.635752119985705
"159",-0.0382097222106665
"160",0.949492711758662
"161",-0.855436825050058
"162",1.24826391064618
"163",-0.210442530981119
"164",1.03033668322234
"165",-0.827317182801821
"166",0.179717505213171
"167",-0.704293747965783
"168",-0.809742406396673
"169",-0.445944534810105
"170",-0.646296985828794
"171",-0.749988166619169
"172",-0.853679347409543
"173",-0.651569418750339
"174",-0.862466735612117
"175",-0.860709257971602
"176",0.750897738380488
"177",1.91083298112027
"178",-0.829074660442336
"179",-0.568967969646142
"180",-0.843134481566454
"181",0.738595394896884
"182",2.58921935035899
"183",-0.843134481566454
"184",2.76145215912944
"185",-0.844891959206969
"186",-0.769320420664832
"187",-0.236804695588841
"188",-0.860709257971602
"189",-0.93628079651374
"190",-0.699021315044239
"191",1.62612160335687
"192",-0.0188774681650035
"193",2.00573677370807
"194",1.78780954628423
"195",0.708718275008132
"196",-0.871254123814691
"197",0.571635019047976
"198",1.72102539594467
"199",-0.846649436847484
"200",2.20433174708624
"201",-0.851921869769028
"202",-0.844891959206969
"203",-0.574240402567687
"204",-0.300073890647375
"205",-0.728898434932991
"206",-0.873011601455206
"207",-0.574240402567687
"208",-0.0839041408640519
"209",-0.419582370202382
"210",3.92841731243128
"211",1.67533097729128
"212",1.34668265851501
"213",0.731565484334825
"214",-0.366858040986938
"215",-0.0979639619881704
"216",-0.549635715600479
"217",-0.813257361677702
"218",2.04967371472094
"219",-0.818529794599247
"220",-0.481094087620401
"221",-0.182322888732882
"222",2.00046434078652
"223",-0.481094087620401
"224",-0.452974445372164
"225",-0.141900903001041
"226",-0.804469973475128
"227",-0.670901672796002
"228",-0.716596091449387
"229",-0.707808703246813
"230",0.385342389153405
"231",0.72980800669431
"232",-0.0645718868183888
"233",-0.846649436847484
"234",1.51012807908289
"235",-0.844891959206969
"236",-0.669144195155487
"237",-0.154203246484645
"238",1.54176267661216
"239",-0.361585608065393
"240",-0.818529794599247
"241",0.162142728808023
"242",-0.271954248399138
"243",-0.426612280764442
"244",-0.210442530981119
"245",-0.732413390214021
"246",-0.113781260752804
"247",-0.732413390214021
"248",0.00924217408323361
"249",-0.867739168533662
"250",1.37655977840376
"251",-0.672659150436517
"252",-0.855436825050058
"253",-0.718353569089902
"254",-0.614662388299528
"255",-0.83434709336388
"256",-0.772835375945861
"257",1.9617998326952
"258",-0.813257361677702
"259",-0.741200778416595
"260",-0.816772316958732
"261",-0.554908148522024
"262",1.43279906290024
"263",-0.672659150436517
"264",-0.523273550992757
"265",-0.855436825050058
"266",-0.79041015235101
"267",1.03560911614389
"268",-0.714838613808872
"269",-0.815014839318217
"270",-0.771077898305347
"271",-0.793925107632039
"272",-0.871254123814691
"273",-0.723626002011446
"274",-0.554908148522024
"275",0.571635019047976
"276",-0.844891959206969
"277",-0.287771547163771
"278",-0.0469971104132406
"279",0.63490421410651
"280",0.803622067595932
"281",-0.249107039072445
"282",1.2746260752539
"283",-0.816772316958732
"284",-0.604117522456439
"285",-0.741200778416595
"286",0.566362586126432
"287",0.364252657467227
"288",1.32559292682883
"289",2.09712561101484
"290",-0.760533032462258
"291",1.99694938550549
"292",0.865133785013951
"293",-0.69199140448218
"294",-0.416067414921353
"295",-0.570725447286657
"296",-0.851921869769028
"297",-0.860709257971602
"298",0.738595394896884
"299",0.761442604223577
"300",-0.764047987743287
"301",-0.846649436847484
"302",1.73508521706879
"303",-0.602360044815924
"304",-0.758775554821743
"305",-0.815014839318217
"306",1.19729705907125
"307",-0.366858040986938
"308",-0.639267075266735
"309",-0.853679347409543
"310",-0.811499884037187
"311",0.364252657467227
"312",-0.670901672796002
"313",-0.656841851671883
"314",1.22014426839794
"315",0.58393736253158
"316",2.80011666722077
"317",-0.651569418750339
"318",-0.472306699417827
"319",1.63842394684047
"320",2.46268096024192
"321",-0.742958256057109
"322",0.499578435786868
"323",-0.873011601455206
"324",-0.500426341666064
"325",-0.619934821221072
"326",1.45388879458642
"327",0.311528328251783
"328",-0.83083213808285
"329",-0.867739168533662
"330",-0.827317182801821
"331",-0.693748882122694
"332",-0.767562943024317
"333",0.415219509042157
"334",-0.862466735612117
"335",-0.421339847842897
"336",2.18148453775955
"337",0.615571960060847
"338",0.221896968585527
"339",-0.816772316958732
"340",-0.869496646174176
"341",-0.171778022889793
"342",-0.820287272239762
"343",0.613814482420332
"344",-0.769320420664832
"345",-0.287771547163771
"346",3.49080537994309
"347",0.998702085693077
"348",1.15863255097993
"349",-0.846649436847484
"350",0.141052997121845
"351",-0.727140957292476
"352",-0.850164392128513
"353",0.28516616364406
"354",-0.474064177058342
"355",-0.841377003925939
"356",-0.681446538639091
"357",0.279893730722516
"358",-0.435399668967016
"359",-0.565453014365113
"360",2.10942795449844
"361",0.258803999036338
"362",-0.836104571004395
"363",-0.804469973475128
"364",-0.732413390214021
"365",0.603269616577243
"366",0.0602090256581634
"367",-0.609389955377983
"368",-0.741200778416595
"369",-0.25086451671296
"370",-0.0733592750209629
"371",0.313285805892297
"372",-0.697263837403724
"373",-0.839619526285424
"374",0.0320893834099263
"375",-0.843134481566454
"376",-0.663871762233943
"377",-0.843134481566454
"378",0.251774088474279
"379",-0.677931583358061
"380",-0.518001118071212
"381",1.04439650434646
"382",1.88798577179358
"383",0.585694840172095
"384",1.5347327660501
"385",-0.841377003925939
"386",-0.347525786941275
"387",-0.525031028633272
"388",-0.187595321654426
"389",-0.565453014365113
"390",0.534727988597165
"391",-0.0962064843476556
"392",-0.681446538639091
"393",-0.800955018194098
"394",-0.862466735612117
"395",-0.656841851671883
"396",-0.354555697503334
"397",-0.806227451115643
"398",-0.825559705161306
"399",0.223654446226042
"400",-0.69199140448218
"401",1.02857920558183
"402",-0.667386717514972
"403",-0.110266305471774
"404",-0.382675339751571
"405",-0.386190295032601
"406",1.61030430459223
"407",-0.751745644259683
"408",1.24123400008412
"409",1.56285240829833
"410",0.826469276922625
"411",0.00748469644271879
"412",-0.860709257971602
"413",-0.744715733697624
"414",2.33438509248434
"415",1.39413455480891
"416",-0.827317182801821
"417",-0.112023783112289
"418",-0.862466735612117
"419",-0.44770201245062
"420",0.200807236899349
"421",-0.614662388299528
"422",-0.477579132339372
"423",0.28516616364406
"424",1.00748947389565
"425",-0.741200778416595
"426",0.221896968585527
"427",-0.732413390214021
"428",-0.869496646174176
"429",-0.0592994538968444
"430",-0.479336609979886
"431",0.234199312069131
"432",-0.639267075266735
"433",-0.825559705161306
"434",-0.871254123814691
"435",0.04439172689353
"436",0.531213033316135
"437",0.457398972414513
"438",-0.855436825050058
"439",-0.704293747965783
"440",0.135780564200301
"441",1.10590822176448
"442",-0.864224213252632
"443",-0.887071422579325
"444",-0.853679347409543
"445",-0.412552459640323
"446",-0.846649436847484
"447",1.56636736357936
"448",0.109418399592578
"449",0.902040815464762
"450",-0.892343855500869
"451",-0.665629239874457
"452",0.274621297800971
"453",-0.728898434932991
"454",0.596239706015184
"455",0.515395734551502
"456",-0.170020545249278
